screen_name;location;created_at;created_at_month;followers;age_days;age_months;lon;lat
T_Labs;Berlin, Germany;2018-07-12;2018-07-01;7519;2905;95;13.404954;52.5200066
juanbenet;Palo Alto;2018-06-26;2018-07-01;22226;2889;95;-122.1430195;37.4418834
SideShowJohn;Berlin, Germany;2018-07-12;2018-07-01;1462;2905;95;13.404954;52.5200066
HeinrichArnold;Berlin, Deutschland;2018-07-10;2018-07-01;1560;2903;95;13.404954;52.5200066
TLabs;Delhi, Bangalore;2018-07-09;2018-07-01;13414;2902;95;77.7254381;12.8844269
saplabsindia;Bengaluru, India;2018-07-12;2018-07-01;10540;2905;95;77.5945627;12.9715987
LC_Labs;Washington, DC;2018-07-12;2018-07-01;4989;2905;95;-77.0368707;38.9071923
FTLabs;London, UK;2018-07-12;2018-07-01;3340;2905;95;-0.1277583;51.5073509
BoinxLabs;Puchheim, Germany;2018-03-01;2018-03-01;5592;2772;91;11.3421615;48.1632257
saplabsla;São Leopoldo, Brazil;2018-07-13;2018-07-01;1717;2906;95;-51.150283;-29.7549941
TYPO_Labs;Berlin, Deutschland;2018-07-10;2018-07-01;1675;2903;95;13.404954;52.5200066
ajlabs;Qatar;2018-07-06;2018-07-01;3619;2899;95;51.183884;25.354826
waverlylabsinc;New York City, NY;2018-07-12;2018-07-01;19116;2905;95;-74.0059728;40.7127753
didit;New York;2018-05-19;2018-06-01;650;2851;94;-74.0059728;40.7127753
duo_labs;The Internets of Planet Earth;2018-06-29;2018-07-01;13439;2892;95;-111.976598;33.394343
sucurilabs;The Internet;2018-07-12;2018-07-01;5161;2905;95;-77.010664;38.898514
olympuslabsbc;New York, USA;2018-07-12;2018-07-01;35256;2905;95;-74.0059728;40.7127753
chrismichel;High Latitudes;2018-07-13;2018-07-01;16649;2906;95;-121.636976;45.6029315
PundiXLabs;Jakarta Capital Region;2018-07-13;2018-07-01;33557;2906;95;106.8650395;-6.17511
StarLabsBR;São Luís, Maranhão;2016-10-31;2016-11-01;794;2286;75;-44.2829046;-2.5391099
BHIVE_T3;London;2018-02-02;2018-02-01;2092;2745;90;-0.1277583;51.5073509
DontPanicLabs;Lincoln, NE;2018-07-12;2018-07-01;972;2905;95;-96.7025955;40.813616
UKBusinessLabs;United Kingdom;2018-07-12;2018-07-01;21867;2905;95;-3.435973;55.378051
Simonunger;Vancouver;2018-07-12;2018-07-01;2636;2905;95;-123.1207375;49.2827291
simplecapp;Central City;2018-07-12;2018-07-01;353;2905;95;-105.5141639;39.8019322
TheBunkerLabs;Chicago, Illinois;2018-07-12;2018-07-01;6035;2905;95;-87.6297982;41.8781136
funktroniclabs;Pasadena, CA;2018-07-13;2018-07-01;3508;2906;95;-118.1445155;34.1477849
EcoLabs;London, UK;2018-07-12;2018-07-01;6683;2905;95;-0.1277583;51.5073509
